12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
27,43,2,2,24,0,7,2.5340518903758915,0.8494944637493393,8,59,-2.2249556091241085,8,50,6,3.6128921866522505,4,32,13,30,24,6,6,8,2,5,-1.93061921113803,0.293107214407607,43,53,12,3
15,39,7,35,22,0,10,1.6622593864758917,0.8489713579451456,5,37,-3.1482896934241085,4,49,56,3.69679260255225,13,29,20,31,16,2,7,7,8,2,-1.94332564643803,0.3164975644696361,10,37,4,5
6,13,4,58,24,0,16,1.3669780362758917,0.8194365680262442,3,45,-3.1482896934241085,4,26,51,3.69679260255225,29,28,40,30,46,12,4,6,2,2,-2.53756900613803,0.3005250805263098,5,25,6,2
9,28,5,2,22,0,4,2.443336215875892,0.7744545880430894,3,38,-2.4525157575241083,5,60,5,3.4378087805522504,14,27,31,31,26,2,1,7,2,1,-2.53756900613803,0.2693725926745864,48,60,3,1
10,33,4,2,24,0,4,2.443336215875892,0.8640978830929631,6,49,-2.667660228724108,4,45,14,3.5073369993522503,11,29,23,32,17,4,1,7,6,4,-2.41710095033803,0.3119491841740293,40,56,2,3
7,8,4,18,26,0,9,1.7563167431758917,0.824129052758482,4,56,-2.667660228724108,5,44,40,3.5073369993522503,16,30,21,30,43,3,4,5,7,3,-2.41710095033803,0.3023122796575247,19,36,4,4
12,43,6,5,26,0,4,2.421442518375892,0.7492108576906297,5,40,-2.5044972617241084,11,65,14,3.0424477624522503,12,33,10,30,24,2,6,12,2,2,-2.25130979873803,0.2826121641433224,40,54,5,8
34,58,10,6,26,0,1,2.421442518375892,0.7628397393467096,4,29,-2.5305362347241083,2,35,11,3.5234222923522505,8,33,8,31,15,4,14,18,5,4,-1.86813122813803,0.3327754522019116,41,47,4,4
19,46,4,6,26,0,5,2.0339025462758915,0.8354237128490118,2,42,-2.7617648076241084,4,48,32,4.29417751855225,10,31,19,34,23,2,8,9,8,1,-2.1343109825380298,0.3867707010590841,33,29,5,2
12,19,4,39,27,0,18,1.4407840037758917,0.8327111630811764,1,38,-2.9618193517241083,4,51,62,4.29417751855225,23,33,6,25,23,7,6,5,7,1,-2.33104248843803,0.4268675142123508,27,17,5,4
12,16,4,32,25,0,14,1.5961827215758917,0.8287271900220988,6,57,-2.9618193517241083,7,39,60,3.3106247498522503,19,28,15,25,28,9,5,12,5,3,-2.33104248843803,0.3507473277245875,19,29,5,4
