z_min,16,3,rv_max,x_std,y_max,7,x_rms,11,6,y_min,1,25,z_std,2,0,z_mean,rv_std,x_signal_changes,29,14,y_rms,8,y_signal_changes,y_std,z_rms,z_max,13,26,31,5,34
-5.6977959336477495,6,24,8.206373562239934,1.6667730776269225,4.172587695961971,26,1.389245195884721,30,36,-2.0584362713380298,8,53,2.564843120351676,13,6,0.0882580533387503,1.4261685355607914,27,6,20,0.633951420208525,26,38,1.125930545044978,3.2931048579972337,8.18420312645225,63,3,44,25,29
-5.3933834844477495,11,21,7.888918022225698,1.7636995274227136,3.81136851816197,24,1.5563999258589072,17,32,-2.27118410103803,16,43,2.524664913496247,16,4,-0.0067498633457496,1.408852021442605,29,6,49,0.5929470785872293,24,39,1.0889734563112552,3.186989243047102,7.84539393055225,49,5,32,31,33
-5.3933834844477495,12,28,7.888918022225698,1.6668711604739317,3.6887306790619694,23,1.3897237454753786,15,30,-2.4350288131380298,17,32,2.4360430135875504,14,9,-0.1120619437002495,1.3443245909086925,30,6,58,0.6078177821615398,11,37,1.1023081980334355,2.9734317216372927,7.84539393055225,46,7,33,36,29
-7.41989984004775,12,35,7.965515724577728,1.3624768279462145,3.6887306790619694,9,0.9282875445045976,15,28,-2.4350288131380298,15,59,2.607923121387133,15,9,0.0542055468407504,1.443406371767682,32,7,60,0.6296197252756155,3,42,1.1221574172629698,3.402100624186955,7.95436578705225,40,17,34,49,20
-7.41989984004775,11,37,7.965515724577728,1.1529696821754565,3.2142760313619703,4,0.6647166401261896,14,21,-2.0687031126380298,16,57,2.7207275035896794,22,15,0.0448879673182503,1.5195522704949722,34,6,61,0.5470710192081634,3,43,1.04475458844042,3.7021865391996416,7.95436578705225,41,20,38,41,23
-5.866517739747749,14,23,7.997865054984572,1.1108670699083472,3.50523612866197,29,0.6170979418384843,17,41,-2.15604270303803,16,42,2.576696136992098,15,6,-0.0802806528187496,1.427220201650084,34,6,44,0.5464790421810405,3,44,1.045402257770144,3.322903982803507,7.98960576945225,52,7,40,30,26
-5.29441506364775,10,17,8.297712844073013,1.166382165841468,3.63981851316197,36,0.6803380324005103,21,41,-2.15604270303803,13,41,2.5597887069523626,11,7,0.0496995109932504,1.4322096949029055,34,4,37,0.6063636620713526,13,40,1.1008494568078426,3.277494132816906,8.294021219352251,54,2,42,35,24
-4.89323670294775,6,12,8.297712844073013,1.2484845106559517,3.63981851316197,52,0.7794000170956933,28,25,-1.93251006213803,12,34,2.563000212931984,12,9,0.0543691804782504,1.4312927279165828,34,4,36,0.5397924781993366,15,37,1.0390163764751608,3.28596304963764,8.294021219352251,57,0,43,32,20
-4.89323670294775,11,17,8.195070103384662,1.260707138551982,3.3707442693619702,41,0.7948891248704933,17,33,-2.36872974553803,12,29,2.5947006536034567,12,9,-0.1254652732287496,1.4035020672518936,30,4,65,0.4889011464195823,10,40,0.9888022982307932,3.374106508298281,8.17699550635225,47,4,48,29,31
-4.52699788844775,9,26,8.203317804789284,1.1653387557578827,3.3707442693619702,27,0.6792094608894559,20,40,-2.36872974553803,12,20,2.721362360043382,8,10,0.0242089025837503,1.4797365409623366,26,5,58,0.5341128376073213,9,44,1.0332485014888626,3.703199582812596,8.19745437985225,57,5,62,33,34
-5.22146222524775,9,23,8.203317804789284,1.1548296935522824,3.61449131906197,23,0.6669006886262945,21,38,-2.02448116163803,13,38,2.7376889793225363,13,9,0.0785348034562503,1.5459828980021066,28,6,31,0.5760994319668913,6,42,1.0722634622967235,3.750554331428992,8.19745437985225,58,3,57,35,29
-5.24695644524775,9,25,8.182761511213359,1.2458328670646368,3.61449131906197,33,0.7762906403533698,24,32,-2.08417630203803,15,36,2.5802228859826704,14,5,-0.0745224010457495,1.4644877882795797,30,6,34,0.5934712154030948,9,38,1.0890681249621168,3.331551864803184,8.16246436485225,57,3,48,30,25
