x_min,22,rv_signal_changes,y_min,23,y_std,32,28,rv_min,z_std,z_rms,11,15,29,35,3,0,8,y_signal_changes,34,38,39,33,y_max,x_std,2,36,18,x_rms,z_mean,27,7
-5.139966858924108,26,0,-4.12195369793803,49,1.533678167950349,32,5,0.5073710081389785,2.8064327670699183,3.9406097149173616,4,26,3,23,26,3,8,28,38,2,3,44,3.5712298327619703,2.1360626074037232,38,10,6,2.281682189096271,0.0717952209482504,11,13
-5.247064331724109,16,0,-4.482210406438029,46,1.4954876953132348,32,4,0.3802461109666687,2.986560601824174,4.459773176653962,2,32,4,27,26,3,6,32,43,3,3,48,2.6567807178619702,2.268915653945758,34,10,30,2.574079708492941,-0.0014577172407495,17,15
-5.247064331724109,11,0,-4.482210406438029,45,1.5672085369606312,43,4,0.3802461109666687,2.747113969213783,3.779701199973308,3,19,3,25,27,3,6,30,36,3,1,41,2.6567807178619702,2.129753849188368,29,9,35,2.268355060583177,-0.1129922125507496,16,10
-3.694140074124108,18,0,-3.60191156773803,38,1.500819072636984,31,4,0.3474365256756048,2.2908714364989757,2.624702532966486,12,25,3,33,25,11,3,27,38,6,4,37,3.00753590436197,1.880511501894158,22,17,22,1.7685252069989386,0.0362370993057504,19,13
-5.314241732524108,24,0,-3.83206733273803,37,1.708633018081123,38,7,0.3474365256756048,2.564125699988976,3.291977004436369,7,21,5,24,31,4,7,27,45,4,2,45,3.46647484176197,2.235369878928774,33,14,15,2.498776736598175,0.0959864757597504,7,15
-5.314241732524108,25,0,-3.83206733273803,41,1.6637033361618825,37,9,0.845772880952005,2.716535847696321,3.6901724727049534,5,21,6,16,35,4,4,25,36,3,3,44,3.46647484176197,2.1613346253564005,29,13,16,2.335746400679003,-0.0278914608927496,9,16
-4.129379332124108,16,0,-3.4564727296380298,28,1.3214309089134653,44,8,0.5281522277582525,2.449986101024524,3.0033906554880034,5,16,5,19,29,6,8,24,29,2,3,50,2.50474543276197,1.7885506373261313,20,8,25,1.600061777502896,-0.0659501005507495,17,18
-4.217159498824108,13,0,-3.26768175003803,42,1.3540050064431846,46,4,0.5281522277582525,2.615982798292599,3.4216840538873674,12,30,2,11,23,7,6,25,29,4,2,45,3.07685644386197,1.828859960911196,20,11,11,1.6725279265878747,-0.0014514861217496,11,17
-4.217159498824108,15,0,-3.26768175003803,43,1.3945522685947933,49,5,0.5495859035038457,2.8011373380805344,3.92378557158621,14,20,2,17,25,5,5,29,34,3,2,43,3.07685644386197,1.8142659604288736,22,11,17,1.645847397506946,0.0346519318872503,17,14
-4.0698633865241085,16,0,-2.89271762873803,43,1.3069653180990106,26,6,0.433546889367291,2.514648099285483,3.162367423584056,18,26,2,36,22,5,17,30,40,2,2,42,2.48758570766197,1.8303428720629784,20,25,18,1.6752385148028075,0.0357740678147503,20,28
