y_min,x_max,y_rms,rv_max,12,10,z_rms,y_signal_changes,35,32,21,z_max,24,16,3,x_rms,2,29,22,7,rv_signal_changes,27,34,20,rv_rms,9,4,8,36,19,z_signal_changes,0
-4.863571136438029,10.13504631987589,2.322263552879157,12.203730483203096,45,2,8.466106186601413,38,21,37,17,10.63580020195225,40,10,15,9.749387201886504,19,6,10,24,0,4,26,25,20.537756941367075,4,24,8,21,2,27,9
-5.8829205691380295,10.13504631987589,3.2435484558228755,12.447458169774489,43,3,8.793811453137044,36,34,34,20,10.79775849575225,34,16,9,9.442689187583234,21,6,11,28,0,5,30,26,21.480049096543148,5,29,8,15,5,30,6
-5.8829205691380295,8.34697146027589,3.305253277402554,13.290110704908384,40,1,8.121429814763012,38,26,38,16,10.79775849575225,44,17,17,9.253307374417084,14,5,12,37,0,4,35,24,20.67999046658265,7,15,23,15,5,30,5
-5.268658127838029,8.927128000975891,2.552314823827523,13.290110704908384,39,3,8.670846600027438,40,26,38,17,10.82252866445225,49,11,17,9.801866486577094,13,8,12,40,0,3,26,25,21.02502791043206,5,18,19,21,3,29,5
-5.268658127838029,8.927128000975891,2.7840638867398804,13.344135333834132,37,4,8.90854874057507,37,29,38,17,10.84120974625225,45,12,17,10.22937612525174,16,8,15,38,0,5,21,23,21.921988752566676,8,16,17,18,3,33,5
-6.942762216338029,9.02008344687589,3.4320294486871687,13.344135333834132,19,1,8.275555450172797,35,25,30,15,11.22244234265225,54,17,17,9.909906154996644,14,4,14,35,0,6,21,19,21.6174910538566,7,12,14,15,4,32,4
-6.942762216338029,9.02008344687589,3.1374075823777234,13.141684385274376,25,2,8.740511063426727,36,29,29,13,11.22244234265225,45,11,15,9.327695609674114,12,5,16,34,0,3,23,24,21.20561425547857,5,19,15,13,2,29,4
-6.038826018038029,10.983733419175891,3.4624765071369668,12.607080710647638,38,2,8.233749847245214,36,25,28,18,10.72319671875225,38,17,21,8.938887709225114,13,3,15,24,0,7,19,21,20.635114063607297,1,35,5,15,3,33,6
-4.838942234438029,10.983733419175891,3.2471129109432386,12.454191465568108,58,10,7.0557768979021205,34,30,33,16,10.72319671875225,42,15,14,8.894298427446635,16,3,16,19,0,4,24,16,19.197188236292,2,32,5,12,2,32,5
-4.20311588263803,9.005388340575891,2.6817168938365383,12.716945060435345,62,16,7.734998151729693,34,34,43,16,10.550323804452251,45,8,13,8.964571542618954,18,5,16,36,0,2,18,22,19.381286588185187,5,14,13,17,1,26,5
-4.4548294752380295,7.907642601375891,3.498718309763524,12.716945060435345,54,12,8.250044181811182,36,30,30,18,11.22030738525225,35,12,15,8.645530197272047,17,5,19,44,0,4,21,24,20.39429268884676,8,15,14,17,3,29,6
-6.2574033361380295,8.387578246375892,3.0336468464042907,12.62145136177495,37,1,7.55941839007799,38,27,32,15,11.22030738525225,42,21,15,8.435345331872199,12,5,17,33,0,5,22,23,19.02841056835448,7,17,12,20,2,31,5
-6.2574033361380295,9.85401390777589,2.384083865495812,12.51104258023006,24,2,7.271313839218266,38,25,30,18,10.60735414385225,46,18,14,9.137920115557002,9,4,11,25,0,2,25,17,18.793317820271067,3,27,6,24,3,30,9
-5.27476505753803,9.85401390777589,3.001275782350442,12.396956264113076,42,3,8.625485212116057,37,31,31,19,10.86934082175225,34,14,15,9.556189818705343,12,8,16,27,0,6,30,22,21.182950813171843,3,30,8,22,5,28,11
