9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
3,17,17,15,25.0,2.682833990753368,37,6,37,34,8.881784197001254e-18,14,8,37,5,3450.0,70,45,16,8.881784197001254e-18,1.840048717478853
10,27,13,11,25.0,2.930851231961741,40,3,56,7,5.551115123125783e-18,3,29,15,5,4250.0,21,53,51,5.551115123125783e-18,1.981676698629768
2,24,17,9,25.0,3.3092578115528912,42,7,47,23,2.220446049250313e-17,18,20,20,9,3875.0,70,33,17,2.220446049250313e-17,2.4399226912047807
3,26,14,9,25.0,3.750867197572739,48,7,42,26,3.3306690738754695e-17,17,11,34,10,4650.0,62,39,19,3.3306690738754695e-17,2.7183361845861285
10,33,12,13,25.0,3.648709331463767,36,5,69,10,2.1094237467877975e-17,15,9,37,4,3825.0,36,54,26,2.1094237467877975e-17,2.779610859788348
7,36,6,13,4000.0,3.2574186689859896,48,2,75,8,8.881784197001254e-18,11,23,19,3,1275.0,22,58,39,8.881784197001254e-18,2.463359395039069
5,30,10,14,2675.0,3.170915587561877,53,5,65,8,1.2212453270876723e-16,9,13,29,7,2575.0,20,36,50,1.2212453270876723e-16,2.065985525724583
5,30,10,16,1225.0,3.6487020095588423,53,3,73,12,5.10702591327572e-17,16,21,25,13,1200.0,33,41,34,5.10702591327572e-17,2.417268488003783
11,34,16,14,1225.0,4.187999668157451,47,3,46,16,1.554312234475219e-16,20,33,11,8,3550.0,61,36,25,1.554312234475219e-16,2.860670184913026
14,33,12,11,1175.0,4.31593013284569,50,2,43,20,3.885780586188048e-17,22,33,17,6,2450.0,62,39,17,3.885780586188048e-17,3.082732503253209
7,37,16,11,4225.0,4.123022696578609,37,9,37,30,1.1546319456101628e-16,20,33,15,10,3900.0,62,32,11,1.1546319456101628e-16,3.0418498716233726
9,50,10,16,1175.0,4.100127440713234,44,2,29,37,7.271960811294776e-17,17,21,26,4,3625.0,65,29,7,7.271960811294776e-17,2.9707621227451804
9,36,7,18,3850.0,4.05044997689954,38,2,24,50,2.220446049250313e-17,25,21,24,4,25.0,65,28,4,2.220446049250313e-17,3.014806510708568
10,22,17,8,1200.0,4.152271172152391,34,5,22,37,1.942890293094024e-17,18,5,42,7,3875.0,82,38,10,1.942890293094024e-17,3.3648027521054686
7,17,20,11,3775.0,4.220064041514617,41,4,22,24,3.608224830031759e-18,15,7,34,3,4150.0,89,37,13,3.608224830031759e-18,3.321550175551056
13,34,17,11,25.0,3.972158203473772,49,8,74,13,1.84297022087776e-16,8,17,22,3,3900.0,42,51,14,1.84297022087776e-16,2.943910433671333
12,48,14,10,25.0,3.618521688600839,39,4,24,24,2.3869795029440865e-17,12,38,11,2,2650.0,78,51,18,2.3869795029440865e-17,2.725138847460479
