y_tm_peaks,y_std,z_abs_diff,22,9,x_abs_diff,18,1,y_abs_diff,4,24,7,z_std,mean_res_accel,x_tm_peaks,z_mean,19,23,6,0,10
4850.0,2.550716301532784,2.220446049250313e-18,11,7,2.220446049250313e-18,18,32,2.220446049250313e-18,19,62,22,4.112470042589345,5.951807965494046,1850.0,0.1278239417579998,6,22,27,5,5
1225.0,2.5429975851290174,1.8485213360008854e-16,13,2,1.8485213360008854e-16,13,27,1.8485213360008854e-16,20,40,25,4.371721822268752,6.077743539780247,25.0,-0.0516651886555,8,10,20,15,4
2775.0,2.4956406182414703,9.547918011776346e-17,8,4,9.547918011776346e-17,21,27,9.547918011776346e-17,22,82,29,4.158917398424346,5.929603486714771,925.0,0.102252600921,6,14,21,19,2
2150.0,2.349231816866539,1.687538997430238e-16,6,7,1.687538997430238e-16,6,30,1.687538997430238e-16,23,79,26,4.115365581904255,5.9118811166449685,925.0,0.031602890865,4,23,21,18,12
4300.0,2.4210286646382078,1.687538997430238e-16,9,7,1.687538997430238e-16,10,27,1.687538997430238e-16,20,61,23,4.498942131179409,6.1468218794808696,25.0,-0.0925909348549999,6,14,28,18,9
4050.0,2.497295168137067,4.9821258230053904e-17,11,6,4.9821258230053904e-17,16,30,4.9821258230053904e-17,18,75,20,4.371466712301769,5.932567777031188,925.0,0.0850078337834999,9,19,27,13,9
2175.0,2.4983582288067514,1.8207657603852566e-16,12,3,1.8207657603852566e-16,27,37,1.8207657603852566e-16,31,82,5,4.277095808001746,5.930157389557386,925.0,-0.0090218833895,16,26,28,12,1
4675.0,2.505050389187113,1.4876988529977099e-16,11,5,1.4876988529977099e-16,26,28,1.4876988529977099e-16,29,69,11,4.446019580617201,6.3012345055398615,925.0,-0.058963650229,23,9,35,18,1
275.0,2.4208680732477825,1.5987211554602254e-16,14,2,1.5987211554602254e-16,13,23,1.5987211554602254e-16,20,53,32,4.387944953851279,6.4131803737687,25.0,-0.0240940593409999,19,11,21,15,4
4600.0,2.419075428930296,3.2474023470285827e-17,14,14,3.2474023470285827e-17,15,19,3.2474023470285827e-17,16,62,24,4.462848704286134,6.477109749160412,325.0,-0.0262957516699999,5,23,25,14,9
4425.0,2.357709262950684,2.55351295663786e-16,13,14,2.55351295663786e-16,12,20,2.55351295663786e-16,17,64,18,4.627272280481304,6.440004113121239,325.0,0.0145640034,5,14,24,18,5
3100.0,2.3240884650483937,3.4139358007223563e-17,10,7,3.4139358007223563e-17,29,17,3.4139358007223563e-17,29,67,18,4.346735885467295,6.158591658313391,1550.0,-0.1405697424169999,9,16,16,23,12
3750.0,2.4536212396980166,1.687538997430238e-16,10,9,1.687538997430238e-16,23,20,1.687538997430238e-16,28,83,22,3.96654744137888,5.880502003053775,2475.0,0.0402486518800001,6,19,14,14,11
2075.0,2.4818922114129283,1.7319479184152443e-16,7,1,1.7319479184152443e-16,19,18,1.7319479184152443e-16,34,57,26,4.210437593964057,6.126296156864463,25.0,0.1287872284794998,8,16,21,9,7
4075.0,2.4136724481516483,9.325873406851316e-17,10,2,9.325873406851316e-17,20,20,9.325873406851316e-17,24,54,29,4.603727140980691,6.49111856333968,3725.0,-0.1023948205415,6,12,15,13,7
2525.0,2.3761876889480558,2.353672812205332e-16,11,7,2.353672812205332e-16,24,26,2.353672812205332e-16,20,74,25,4.542397834462106,6.559353135595456,600.0,0.1233224999555,10,10,19,20,7
325.0,2.322604224068111,2.1316282072803002e-16,14,7,2.1316282072803002e-16,15,29,2.1316282072803002e-16,18,72,25,4.471383564483516,6.560346245123054,1850.0,0.073771841384,5,16,20,19,6
2150.0,2.2446463396719665,1.0880185641326534e-16,13,5,1.0880185641326534e-16,17,26,1.0880185641326534e-16,26,68,31,4.620614873289855,6.548445487043451,3700.0,-0.126644716998,3,12,21,11,4
1800.0,2.282101346533546,1.554312234475219e-16,10,8,1.554312234475219e-16,24,20,1.554312234475219e-16,23,58,22,4.520125200751409,6.421017021910682,1225.0,-0.050084450197,11,11,21,13,2
3675.0,2.575385386072191,7.327471962526034e-17,12,3,7.327471962526034e-17,17,26,7.327471962526034e-17,30,85,13,4.428146466891878,6.398463876003666,25.0,0.0391842342275,9,11,32,14,3
3975.0,2.5984035790046094,1.021405182655144e-16,10,3,1.021405182655144e-16,13,22,1.021405182655144e-16,28,70,16,4.527364964570227,6.474096239255477,25.0,0.0473749219959999,10,16,32,14,3
825.0,2.6824493457382257,1.4210854715202004e-16,6,2,1.4210854715202004e-16,20,19,1.4210854715202004e-16,28,50,26,4.445186899383101,6.3841747933811455,25.0,-0.147624954453,14,16,22,14,2
1450.0,2.7309250541322148,8.881784197001253e-17,6,2,8.881784197001253e-17,27,25,8.881784197001253e-17,31,62,22,4.220808128739159,6.204016242953718,25.0,0.069356872372,12,13,26,15,2
3650.0,2.3944283387259997,1.509903313490213e-16,7,10,1.509903313490213e-16,22,22,1.509903313490213e-16,16,55,23,4.244434616547457,6.092028658859106,2475.0,0.1207158033079999,12,16,22,16,20
3675.0,2.32081041330008,1.7763568394002506e-16,5,3,1.7763568394002506e-16,25,18,1.7763568394002506e-16,21,60,30,4.328221048862723,6.135002323465651,1850.0,-0.0576948863129999,12,17,18,12,17
2175.0,2.493074939986308,1.7763568394002505e-17,5,6,1.7763568394002505e-17,34,21,1.7763568394002505e-17,21,81,29,3.945231551849789,6.030796049113824,2800.0,0.0985107834924999,15,13,18,12,3
4975.0,2.499421405839486,7.549516567451065e-17,11,5,7.549516567451065e-17,40,25,7.549516567451065e-17,24,80,30,4.008576184107915,6.02782287384636,1875.0,-0.005604554272,17,16,16,20,4
4675.0,2.3620192107217477,7.105427357601002e-17,12,3,7.105427357601002e-17,35,17,7.105427357601002e-17,19,65,32,4.5030592546959465,6.320757875196147,3675.0,-0.1384477588715,17,16,23,16,5
1825.0,2.440101503164384,1.0658141036401501e-16,8,17,1.0658141036401501e-16,32,18,1.0658141036401501e-16,23,69,23,4.355384550799554,6.299037643851565,25.0,-0.1129560604539999,20,13,22,11,7
4575.0,2.535522238322748,8.881784197001254e-18,7,12,8.881784197001254e-18,20,16,8.881784197001254e-18,31,74,21,3.9214313320264673,5.874901156963711,2450.0,0.092489052641,24,12,20,7,9
1125.0,2.599666066790942,1.9095836023552687e-16,10,1,1.9095836023552687e-16,42,13,1.9095836023552687e-16,36,58,31,4.329301437110106,6.098463543750091,3650.0,0.1151382428989999,22,11,20,17,3
4000.0,2.7117818246657164,1.509903313490213e-16,10,2,1.509903313490213e-16,13,19,1.509903313490213e-16,28,71,10,4.8693398383315065,6.651345005089735,25.0,-0.0260114492029999,6,13,32,20,4
4000.0,2.848693538390876,1.509903313490213e-16,10,2,1.509903313490213e-16,20,24,1.509903313490213e-16,33,80,6,4.57790947189309,6.399402124800166,25.0,-0.0468095063409999,9,16,30,18,5
4850.0,2.7143632131127133,1.887379141862766e-16,8,17,1.887379141862766e-16,25,11,1.887379141862766e-16,17,79,22,4.262766042239063,5.971488442131193,875.0,0.0021079929459999,5,14,28,10,2
1800.0,2.466934061993267,7.993605777301127e-17,11,7,7.993605777301127e-17,30,12,7.993605777301127e-17,20,63,23,4.564976817206949,6.236057074631259,25.0,0.0367747946904999,10,12,26,14,10
1175.0,2.472582207320542,1.0769163338864017e-16,8,1,1.0769163338864017e-16,34,18,1.0769163338864017e-16,22,65,29,4.914824137420535,6.707222239350193,2725.0,-0.0565185467005,10,10,23,21,2
3975.0,2.516525397529902,1.9317880628477724e-16,7,3,1.9317880628477724e-16,41,21,1.9317880628477724e-16,26,77,31,4.613886794847351,6.553172641643868,3650.0,0.0442465115395,11,11,23,20,2
300.0,2.520921620474401,2.1094237467877975e-17,8,5,2.1094237467877975e-17,37,19,2.1094237467877975e-17,23,79,29,4.270484594789042,6.232818497098711,25.0,0.0326124345434999,9,15,21,19,11
